City_ID,City,Country,Max Temp,description,Lat,Lng,Hotel Name
7,Bambous Virieux,MU,82.22,light rain,-20.3428,57.7575,Casa Tia Villa
19,Hobyo,SO,76.91,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
20,Isangel,VU,84.63,broken clouds,-19.55,169.2667,Tanna Lodge
30,Atuona,PF,77.31,light rain,-9.8,-139.0333,Villa Enata
34,Kawalu,ID,84.0,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
35,Antalaha,MG,75.0,broken clouds,-14.9003,50.2788,Hotel Vitasoa
38,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
43,Rikitea,PF,78.91,clear sky,-23.1203,-134.9692,People ThankYou
47,Vaini,TO,80.13,overcast clouds,-21.2,-175.2,Keleti Beach Resort
61,Busselton,AU,89.04,clear sky,-33.65,115.3333,Observatory Guest House
69,Mareeba,AU,83.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
70,Tabou,CI,76.8,broken clouds,4.423,-7.3528,hotêl doufoulougou
72,Souillac,MU,82.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
75,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
80,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
88,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
92,Faanui,PF,81.1,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Port Macquarie,AU,77.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
105,Phibun Mangsahan,TH,78.4,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
107,Hervey Bay,AU,77.11,light rain,-25.2986,152.8535,Shelly Bay Resort
114,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Kaeo,NZ,77.32,few clouds,-35.1,173.7833,Bushido Lodge
117,Srandakan,ID,85.5,overcast clouds,-7.9386,110.2506,Puri Brata
119,Mahebourg,MU,82.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Nabire,ID,87.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
122,Flinders,AU,84.79,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
125,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
129,Dalby,AU,82.27,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
132,Gondanglegi,ID,83.61,moderate rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
133,Bengkulu,ID,84.92,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Dingle,PH,85.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
150,Buala,SB,79.34,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
156,Kupang,ID,85.89,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
159,Takoradi,GH,78.15,overcast clouds,4.8845,-1.7554,Raybow International Hotel
162,Hithadhoo,MV,82.35,broken clouds,-0.6,73.0833,Scoop Guest House
165,Matara,LK,81.84,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
166,Banda Aceh,ID,84.56,broken clouds,5.5577,95.3222,Sulthan Hotel International
179,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
180,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
181,Sao Miguel Dos Campos,BR,76.5,overcast clouds,-9.7811,-36.0936,Pousada Campo Verde
182,Cap Malheureux,MU,83.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
185,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
192,Vao,NC,80.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
193,Port-Gentil,GA,80.64,overcast clouds,-0.7193,8.7815,Fengshui Residence
202,Mount Isa,AU,91.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
205,Miri,MY,85.62,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
215,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
