City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,description
0,Hilo,19.7297,-155.09,72.25,89,46,1.01,US,2022-02-14 04:04:46,scattered clouds
1,Ponta Do Sol,32.6667,-17.1,61.05,74,94,1.77,PT,2022-02-14 04:01:38,overcast clouds
2,Ushuaia,-54.8,-68.3,33.1,92,31,4.85,AR,2022-02-14 04:05:05,scattered clouds
3,Luderitz,-26.6481,15.1594,70.43,71,0,8.9,NA,2022-02-14 04:06:06,clear sky
4,Tuktoyaktuk,69.4541,-133.0374,-34.35,100,71,7.61,CA,2022-02-14 04:06:07,broken clouds
5,Norman Wells,65.282,-126.8329,-5.84,99,100,0.92,CA,2022-02-14 04:06:07,overcast clouds
6,Capinopolis,-18.6819,-49.5697,69.55,94,8,3.33,BR,2022-02-14 04:06:08,clear sky
7,Bambous Virieux,-20.3428,57.7575,82.22,86,100,13.47,MU,2022-02-14 04:06:08,light rain
8,Dwarka,22.2394,68.9678,70.68,57,0,4.27,IN,2022-02-14 04:06:09,clear sky
9,Nikolskoye,59.7035,30.7861,36.88,92,100,11.3,RU,2022-02-14 04:06:09,overcast clouds
10,Wanning,18.8003,110.3967,68.41,90,100,9.48,CN,2022-02-14 04:06:10,overcast clouds
11,Punta Arenas,-53.15,-70.9167,44.71,57,40,11.5,CL,2022-02-14 04:06:10,scattered clouds
12,Castro,-24.7911,-50.0119,63.82,91,82,1.5,BR,2022-02-14 04:06:11,broken clouds
13,Paris,48.8534,2.3488,54.37,81,100,20.71,FR,2022-02-14 04:02:47,overcast clouds
14,Vitkov,49.7744,17.7494,33.35,81,8,17.25,CZ,2022-02-14 04:06:11,clear sky
15,Mataura,-46.1927,168.8643,70.9,39,100,5.77,NZ,2022-02-14 04:06:12,overcast clouds
16,Konstantinovka,49.6167,127.9833,8.24,88,100,5.86,RU,2022-02-14 04:06:12,overcast clouds
17,Ixtapa,20.7,-105.2,74.23,83,75,0.0,MX,2022-02-14 04:06:06,broken clouds
18,Iqaluit,63.7506,-68.5145,-22.5,96,100,4.41,CA,2022-02-14 04:06:13,overcast clouds
19,Hobyo,5.3505,48.5268,76.91,68,50,16.6,SO,2022-02-14 04:06:13,scattered clouds
20,Isangel,-19.55,169.2667,84.63,72,64,12.3,VU,2022-02-14 04:06:14,broken clouds
21,Lavrentiya,65.5833,-171.0,-21.24,93,12,5.17,RU,2022-02-14 04:05:35,few clouds
22,Dikson,73.5069,80.5464,-5.8,91,70,22.32,RU,2022-02-14 04:06:14,broken clouds
23,Gwadar,25.1216,62.3254,70.63,66,22,6.44,PK,2022-02-14 04:06:15,light rain
24,Saldanha,-33.0117,17.9442,63.79,88,0,12.44,ZA,2022-02-14 04:06:15,clear sky
25,Cape Town,-33.9258,18.4232,68.34,79,0,1.99,ZA,2022-02-14 04:03:08,clear sky
26,Tasiilaq,65.6145,-37.6368,23.16,85,100,25.05,GL,2022-02-14 04:06:16,overcast clouds
27,Aklavik,68.2191,-135.0107,-21.55,97,100,11.74,CA,2022-02-14 04:06:16,overcast clouds
28,Guerrero Negro,27.9769,-114.0611,67.15,45,5,7.2,MX,2022-02-14 04:05:15,clear sky
29,Hailar,49.2,119.7,-14.17,93,100,2.71,CN,2022-02-14 04:06:17,overcast clouds
30,Atuona,-9.8,-139.0333,77.31,80,22,13.73,PF,2022-02-14 04:06:17,light rain
31,Loubomo,-4.1997,12.6739,71.22,97,100,2.3,CG,2022-02-14 04:06:18,light rain
32,Cidreira,-30.1811,-50.2056,68.67,86,20,6.46,BR,2022-02-14 04:04:14,few clouds
33,Shelburne,44.0787,-80.2041,5.56,99,99,2.55,CA,2022-02-14 04:06:19,overcast clouds
34,Kawalu,-7.3817,108.2082,84.0,72,86,1.86,ID,2022-02-14 04:06:19,overcast clouds
35,Antalaha,-14.9003,50.2788,75.0,88,64,3.65,MG,2022-02-14 04:06:20,broken clouds
36,Leshukonskoye,64.8989,45.7622,7.63,88,95,8.28,RU,2022-02-14 04:02:48,overcast clouds
37,Saint Anthony,45.0205,-93.218,8.26,77,100,13.8,US,2022-02-14 04:02:25,snow
38,Bathsheba,13.2167,-59.5167,77.61,73,40,16.11,BB,2022-02-14 04:06:20,scattered clouds
39,Bluff,-46.6,168.3333,59.2,63,100,6.8,NZ,2022-02-14 04:06:21,overcast clouds
40,Zaraza,9.3503,-65.3245,74.82,77,34,8.77,VE,2022-02-14 04:06:21,scattered clouds
41,Los Llanos De Aridane,28.6585,-17.9182,60.55,77,75,6.91,ES,2022-02-14 04:03:57,broken clouds
42,Yar-Sale,66.8333,70.8333,-20.34,99,100,7.52,RU,2022-02-14 04:06:22,overcast clouds
43,Rikitea,-23.1203,-134.9692,78.91,71,2,14.07,PF,2022-02-14 04:06:22,clear sky
44,Nuuk,64.1835,-51.7216,5.61,85,75,8.05,GL,2022-02-14 04:06:23,broken clouds
45,Mecca,21.4267,39.8261,70.25,28,18,3.83,SA,2022-02-14 04:04:41,few clouds
46,Jamestown,42.097,-79.2353,13.32,72,20,3.44,US,2022-02-14 04:06:08,few clouds
47,Vaini,-21.2,-175.2,80.13,71,91,16.04,TO,2022-02-14 04:07:24,overcast clouds
48,New Norfolk,-42.7826,147.0587,72.66,38,83,6.22,AU,2022-02-14 04:07:25,broken clouds
49,Houma,29.5958,-90.7195,46.0,58,0,5.84,US,2022-02-14 04:07:25,clear sky
50,Albany,42.6001,-73.9662,19.47,65,34,1.99,US,2022-02-14 04:07:26,scattered clouds
51,Ilulissat,69.2167,-51.1,5.02,78,75,12.66,GL,2022-02-14 04:07:26,broken clouds
52,Karlskrona,56.1616,15.5866,37.85,89,100,17.96,SE,2022-02-14 04:07:26,overcast clouds
53,Lasa,46.6166,10.7002,25.02,71,4,1.81,IT,2022-02-14 04:07:27,clear sky
54,Puerto Ayora,-0.7393,-90.3518,73.54,93,97,2.68,EC,2022-02-14 04:07:27,overcast clouds
55,Mar Del Plata,-38.0023,-57.5575,60.87,78,0,1.01,AR,2022-02-14 04:02:47,clear sky
56,Thompson,55.7435,-97.8558,-22.02,100,64,4.34,CA,2022-02-14 04:07:28,broken clouds
57,Fortuna,40.5982,-124.1573,52.41,100,100,0.0,US,2022-02-14 04:07:28,overcast clouds
58,Areosa,41.7178,-8.8571,54.91,75,21,11.52,PT,2022-02-14 04:07:29,few clouds
59,Saint George,37.1041,-113.5841,60.35,24,0,3.44,US,2022-02-14 04:06:41,clear sky
60,Xining,36.6167,101.7667,24.64,48,39,1.03,CN,2022-02-14 04:07:29,scattered clouds
61,Busselton,-33.65,115.3333,89.04,40,0,5.1,AU,2022-02-14 04:04:07,clear sky
62,Tazovskiy,67.4667,78.7,-5.96,97,89,11.21,RU,2022-02-14 04:07:30,overcast clouds
63,Yakeshi,49.2833,120.7333,-12.19,94,100,4.7,CN,2022-02-14 04:07:30,overcast clouds
64,Safaga,26.7292,33.9365,60.28,53,1,16.8,EG,2022-02-14 04:07:31,clear sky
