City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Baruun-Urt,46.6806,113.2792,-15.29,98,52,1.99,MN,2022-02-14 00:55:52
1,Rikitea,-23.1203,-134.9692,78.94,71,5,14.14,PF,2022-02-14 00:55:25
2,Mount Isa,-20.7333,139.5,87.57,45,100,17.27,AU,2022-02-14 00:55:53
3,Bredasdorp,-34.5322,20.0403,65.52,72,99,8.05,ZA,2022-02-14 00:55:54
4,Yulara,-25.2406,130.9889,85.84,19,0,9.22,AU,2022-02-14 00:55:54
5,East London,-33.0153,27.9116,71.8,81,31,10.09,ZA,2022-02-14 00:55:54
6,Vila Velha,-20.3297,-40.2925,75.15,97,100,3.44,BR,2022-02-14 00:55:55
7,New Norfolk,-42.7826,147.0587,63.91,64,92,4.63,AU,2022-02-14 00:55:55
8,Atuona,-9.8,-139.0333,77.94,78,14,13.6,PF,2022-02-14 00:55:56
9,Isperih,43.7167,26.8333,32.99,95,92,6.24,BG,2022-02-14 00:54:05
10,Young,-32.6833,-57.6333,67.23,44,0,4.03,UY,2022-02-14 00:55:57
11,Hobart,-42.8794,147.3294,64.27,76,75,11.5,AU,2022-02-14 00:55:58
12,Clyde River,70.4692,-68.5914,-18.17,76,100,18.41,CA,2022-02-14 00:55:58
13,Rulenge,-2.7175,30.6325,59.49,94,100,2.59,TZ,2022-02-14 00:55:59
14,Bluff,-46.6,168.3333,68.81,64,100,3.74,NZ,2022-02-14 00:55:59
15,Castro,-24.7911,-50.0119,66.0,89,100,0.89,BR,2022-02-14 00:56:00
16,Busselton,-33.65,115.3333,76.05,52,0,10.74,AU,2022-02-14 00:56:00
17,Mataura,-46.1927,168.8643,68.49,37,100,1.54,NZ,2022-02-14 00:56:01
18,Shimoda,34.6667,138.95,41.36,71,100,19.28,JP,2022-02-14 00:56:01
19,Aloleng,16.1307,119.7824,81.5,71,17,10.2,PH,2022-02-14 00:56:02
20,Rio De Janeiro,-22.9028,-43.2075,78.91,86,0,8.05,BR,2022-02-14 00:54:03
21,Pevek,69.7008,170.3133,-16.37,97,100,8.5,RU,2022-02-14 00:56:02
